id;Latitude;Longitude;Altitude
0;-16,42987312;-46,84994841;621
1;-16,4325193;-46,8489734;626
2;-16,42964;-46,8485;604
3;-16,43245;-46,8475;605
4;-16,42962;-46,84737;598
5;-16,43212;-46,84637;596
6;-16,42941;-46,84576;592
7;-16,43173;-46,846;595
8;-16,43111;-46,8458;594
9;-16,43082;-46,84534;591
