DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
URUCUI;PI;Pane;-7,44138888;-44,34499999;398,83;05/03/2008;A346
URUGUAIANA;RS;Operante;-29,83987;-57,081899;74,29;27/09/2006;A809
URUSSANGA;SC;Operante;-28,53249999;-49,31527777;40,56;28/05/2008;A814
VACARIA;RS;Operante;-28,513602;-50,882738;969,89;25/04/2008;A880
VALENCA;RJ;Operante;-22,35805555;-43,69555555;370;26/09/2006;A611
VALENCA;BA;Pane;-13,3436111;-39,12666666;93,12;28/06/2009;A444
VALENCA DO PIAUI;PI;Pane;-6,39916666;-41,73999999;313,39;17/04/2009;A363
VALPARAISO;SP;Operante;-21,31916666;-50,93027777;381,9;29/08/2007;A734
VARGINHA;MG;Operante;-21,56638888;-45,40416666;949,78;12/07/2006;A515
VENDA NOVA DO IMIGRANTE;ES;Operante;-20,38555555;-41,18999999;722;09/02/2017;A633
VENTANIA;PR;Operante;-24,28027777;-50,21027777;1093,41;14/04/2011;A872
VICOSA;MG;Operante;-20,762607;-42,864013;697,64;14/09/2005;A510
VILA BELA DA SANTISSIMA TRINDADE;MT;Operante;-15,06277777;-59,87305554;213;30/11/2006;A922
VILA VELHA;ES;Operante;-20,46694443;-40,40388888;25;14/02/2017;A634
VILHENA;RO;Operante;-12,73499999;-60,15777777;583,3;25/08/2008;A938
VITORIA;ES;Operante;-20,27083332;-40,30583333;9;30/10/2006;A612
VITORIA DA CONQUISTA;BA;Operante;-14,88638888;-40,80138888;879,38;31/05/2007;A414
VOTUPORANGA;SP;Operante;-20,40333333;-49,96611111;510,37;03/12/2006;A729
XANXERE;SC;Operante;-26,938666;-52,39809;878,74;14/03/2008;A858
XINGUARA;PA;Operante;-7,110518;-49,926072;245;10/09/2016;A247
ZE DOCA;MA;Operante;-3,26916666;-45,65111111;45,5;17/09/2019;A255
