Codmun6,Codmun7,LONG,LAT
110001,1100015,-61.9998238962936,-11.9355403047646
110002,1100023,-63.0332692780484,-9.9084628665672
110003,1100031,-60.5443135812009,-13.4997634596963
110004,1100049,-61.4429442118224,-11.4338650286852
110005,1100056,-60.8184261646815,-13.1950330320399
110006,1100064,-60.5550674630789,-13.1305638414553
110007,1100072,-60.9487011706614,-12.9975202364834
110008,1100080,-64.2316539391172,-12.4360138777142
